round,kind,count,state,wall_ms,cpu_ms,one_core_pct,machine_pct,private_median_mib,private_max_mib,working_median_mib,working_max_mib,managed_before_mib,managed_after_mib,ui_alloc_kib_sec,gc0,gc1,gc2,render_tier,logical_cpus,is_64bit,dpi,clr
1,3,64,active,6013.18,734.38,12.213,0.763,51.277,51.902,59.699,60.379,2.117,2.561,737.583,1,0,0,2,16,False,96,4.0.30319.42000
1,3,1,stopped,6066.77,62.50,1.030,0.064,46.859,46.883,55.172,55.188,0.731,1.170,170.659,0,0,0,2,16,False,96,4.0.30319.42000
1,0,0,stopped,6029.05,62.50,1.037,0.065,45.883,46.383,52.504,53.000,0.553,0.993,171.020,0,0,0,2,16,False,96,4.0.30319.42000
1,1,64,active,6241.93,4140.63,66.336,4.146,51.402,51.590,59.734,59.941,2.116,2.554,958.107,1,0,0,2,16,False,96,4.0.30319.42000
1,2,64,stopped,6005.40,46.88,0.781,0.049,54.277,54.277,62.422,62.422,2.062,2.502,171.693,0,0,0,2,16,False,96,4.0.30319.42000
1,1,1,stopped,6021.92,31.25,0.519,0.032,47.609,47.609,55.930,55.941,0.731,1.168,171.741,0,0,0,2,16,False,96,4.0.30319.42000
1,2,1,stopped,6051.16,15.63,0.258,0.016,48.008,48.008,56.289,56.289,0.727,1.162,171.245,0,0,0,2,16,False,96,4.0.30319.42000
1,3,64,stopped,6055.18,78.13,1.290,0.081,50.867,50.867,59.246,59.250,2.082,2.517,170.178,0,0,0,2,16,False,96,4.0.30319.42000
1,2,64,active,6001.87,5328.13,88.774,5.548,54.160,54.160,62.500,62.500,2.325,2.761,6852.757,12,0,0,2,16,False,96,4.0.30319.42000
1,3,1,active,6022.54,140.63,2.335,0.146,46.813,48.004,55.043,56.258,0.732,1.167,270.981,0,0,0,2,16,False,96,4.0.30319.42000
1,1,64,stopped,6044.37,62.50,1.034,0.065,50.637,50.637,59.078,59.082,2.081,2.516,170.361,0,0,0,2,16,False,96,4.0.30319.42000
1,1,1,active,6240.98,109.38,1.753,0.110,47.875,48.563,56.113,56.836,0.732,1.167,321.688,0,0,0,2,16,False,96,4.0.30319.42000
1,2,1,active,6239.73,15.63,0.250,0.016,48.410,49.984,56.660,58.223,0.732,1.167,513.342,0,0,0,2,16,False,96,4.0.30319.42000
2,2,1,stopped,6049.93,31.25,0.517,0.032,48.070,48.070,56.367,56.367,0.727,1.163,170.430,0,0,0,2,16,False,96,4.0.30319.42000
2,0,0,stopped,6030.34,78.13,1.296,0.081,45.906,46.469,52.504,53.027,0.553,0.988,174.844,0,0,0,2,16,False,96,4.0.30319.42000
2,1,64,stopped,6030.88,78.13,1.295,0.081,51.074,51.074,59.477,59.480,2.081,2.515,171.488,0,0,0,2,16,False,96,4.0.30319.42000
2,1,64,active,6002.46,3906.25,65.077,4.067,51.285,51.602,59.660,59.977,2.116,2.550,956.760,1,0,0,2,16,False,96,4.0.30319.42000
2,3,64,stopped,6022.30,109.38,1.816,0.114,50.461,50.488,58.793,58.797,2.082,2.515,171.730,0,0,0,2,16,False,96,4.0.30319.42000
2,1,1,stopped,6000.62,93.75,1.562,0.098,47.621,47.621,55.941,55.945,0.731,1.165,172.351,0,0,0,2,16,False,96,4.0.30319.42000
2,3,64,active,6013.63,515.63,8.574,0.536,51.313,52.160,59.645,60.508,2.117,2.549,738.092,1,0,0,2,16,False,96,4.0.30319.42000
2,2,1,active,6243.39,0.00,0.000,0.000,48.371,49.621,56.621,57.855,0.732,1.168,513.995,0,0,0,2,16,False,96,4.0.30319.42000
2,3,1,stopped,6026.86,31.25,0.519,0.032,46.871,46.871,55.191,55.195,0.731,1.165,171.602,0,0,0,2,16,False,96,4.0.30319.42000
2,2,64,stopped,6024.31,46.88,0.778,0.049,54.270,54.270,62.672,62.672,2.062,2.496,171.154,0,0,0,2,16,False,96,4.0.30319.42000
2,3,1,active,6010.53,156.25,2.600,0.162,46.875,48.000,55.105,56.266,0.732,1.166,270.797,0,0,0,2,16,False,96,4.0.30319.42000
2,1,1,active,6244.85,421.88,6.756,0.422,47.902,48.590,56.145,56.867,0.732,1.166,322.280,0,0,0,2,16,False,96,4.0.30319.42000
2,2,64,active,6000.97,5171.88,86.184,5.387,54.531,54.531,62.910,62.910,2.325,2.758,6839.635,12,0,0,2,16,False,96,4.0.30319.42000
3,1,1,active,6243.78,375.00,6.006,0.375,47.633,48.383,55.906,56.676,0.732,1.167,322.723,0,0,0,2,16,False,96,4.0.30319.42000
3,2,1,active,6243.00,1046.88,16.769,1.048,47.984,49.172,56.277,57.441,0.732,1.164,513.733,0,0,0,2,16,False,96,4.0.30319.42000
3,2,64,active,6008.50,5203.13,86.596,5.412,54.500,54.500,62.871,62.871,2.325,2.758,6847.204,12,0,0,2,16,False,96,4.0.30319.42000
3,3,64,stopped,6030.74,125.00,2.073,0.130,50.977,50.977,59.289,59.293,2.082,2.514,171.490,0,0,0,2,16,False,96,4.0.30319.42000
3,1,1,stopped,6071.94,31.25,0.515,0.032,47.605,47.605,55.922,55.926,0.731,1.164,169.709,0,0,0,2,16,False,96,4.0.30319.42000
3,3,64,active,6026.05,796.88,13.224,0.826,51.484,52.113,59.797,60.484,2.117,2.549,738.884,1,0,0,2,16,False,96,4.0.30319.42000
3,0,0,stopped,6034.81,31.25,0.518,0.032,45.762,46.266,52.348,52.836,0.553,0.986,170.173,0,0,0,2,16,False,96,4.0.30319.42000
3,2,1,stopped,6038.01,15.63,0.259,0.016,47.625,47.625,55.945,55.945,0.727,1.159,170.021,0,0,0,2,16,False,96,4.0.30319.42000
3,1,64,active,6240.52,4140.63,66.351,4.147,51.434,51.621,59.746,59.957,2.116,2.548,958.314,1,0,0,2,16,False,96,4.0.30319.42000
3,3,1,stopped,6033.51,62.50,1.036,0.065,46.859,46.859,55.191,55.199,0.731,1.165,170.667,0,0,0,2,16,False,96,4.0.30319.42000
3,3,1,active,6018.56,109.38,1.817,0.114,46.602,47.727,54.664,55.824,0.732,1.167,270.030,0,0,0,2,16,False,96,4.0.30319.42000
3,2,64,stopped,6004.01,46.88,0.781,0.049,54.207,54.207,62.598,62.598,2.062,2.496,170.234,0,0,0,2,16,False,96,4.0.30319.42000
3,1,64,stopped,6080.07,15.63,0.257,0.016,50.648,50.648,59.105,59.109,2.081,2.513,168.744,0,0,0,2,16,False,96,4.0.30319.42000
