"kind","count","state","runs","one_core_pct_median","one_core_pct_min","one_core_pct_max","machine_pct_median","machine_pct_min","machine_pct_max","private_median_mib_median","private_median_mib_min","private_median_mib_max","working_median_mib_median","working_median_mib_min","working_median_mib_max","managed_after_mib_median","managed_after_mib_min","managed_after_mib_max","ui_alloc_kib_sec_median","ui_alloc_kib_sec_min","ui_alloc_kib_sec_max","gc0_median","gc0_min","gc0_max","gc1_median","gc1_min","gc1_max","gc2_median","gc2_min","gc2_max"
"0","0","stopped","3","1.037","0.518","1.296","0.065","0.032","0.081","45.883","45.762","45.906","52.504","52.348","52.504","0.988","0.986","0.993","171.020","170.173","174.844","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"1","1","active","3","6.006","1.753","6.756","0.375","0.110","0.422","47.875","47.633","47.902","56.113","55.906","56.145","1.167","1.166","1.167","322.280","321.688","322.723","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"1","1","stopped","3","0.519","0.515","1.562","0.032","0.032","0.098","47.609","47.605","47.621","55.930","55.922","55.941","1.165","1.164","1.168","171.741","169.709","172.351","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"1","64","active","3","66.336","65.077","66.351","4.146","4.067","4.147","51.402","51.285","51.434","59.734","59.660","59.746","2.550","2.548","2.554","958.107","956.760","958.314","1.000","1.000","1.000","0.000","0.000","0.000","0.000","0.000","0.000"
"1","64","stopped","3","1.034","0.257","1.295","0.065","0.016","0.081","50.648","50.637","51.074","59.105","59.078","59.477","2.515","2.513","2.516","170.361","168.744","171.488","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"2","1","active","3","0.250","0.000","16.769","0.016","0.000","1.048","48.371","47.984","48.410","56.621","56.277","56.660","1.167","1.164","1.168","513.733","513.342","513.995","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"2","1","stopped","3","0.259","0.258","0.517","0.016","0.016","0.032","48.008","47.625","48.070","56.289","55.945","56.367","1.162","1.159","1.163","170.430","170.021","171.245","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"2","64","active","3","86.596","86.184","88.774","5.412","5.387","5.548","54.500","54.160","54.531","62.871","62.500","62.910","2.758","2.758","2.761","6847.204","6839.635","6852.757","12.000","12.000","12.000","0.000","0.000","0.000","0.000","0.000","0.000"
"2","64","stopped","3","0.781","0.778","0.781","0.049","0.049","0.049","54.270","54.207","54.277","62.598","62.422","62.672","2.496","2.496","2.502","171.154","170.234","171.693","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"3","1","active","3","2.335","1.817","2.600","0.146","0.114","0.162","46.813","46.602","46.875","55.043","54.664","55.105","1.167","1.166","1.167","270.797","270.030","270.981","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"3","1","stopped","3","1.030","0.519","1.036","0.064","0.032","0.065","46.859","46.859","46.871","55.191","55.172","55.191","1.165","1.165","1.170","170.667","170.659","171.602","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"3","64","active","3","12.213","8.574","13.224","0.763","0.536","0.826","51.313","51.277","51.484","59.699","59.645","59.797","2.549","2.549","2.561","738.092","737.583","738.884","1.000","1.000","1.000","0.000","0.000","0.000","0.000","0.000","0.000"
"3","64","stopped","3","1.816","1.290","2.073","0.114","0.081","0.130","50.867","50.461","50.977","59.246","58.793","59.289","2.515","2.514","2.517","171.490","170.178","171.730","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
